wavenumber_cm-1,raw_avg,denoised,normalized,snv
2.090512939453125000e+03,2.141646982828775947e+02,2.137024996485412771e+02,1.324101661246058874e-02,-8.416652987147807408e-02
2.091966064453125000e+03,2.132214881049262090e+02,2.137120341147515603e+02,1.324328580840144869e-02,-8.407178446760797674e-02
2.093418945312500000e+03,2.134959123399522696e+02,2.136884420341889381e+02,1.323767091059087180e-02,-8.430622246882828186e-02
2.094869628906250000e+03,2.135599619547525947e+02,2.136392068380961291e+02,1.322595297015695913e-02,-8.479547990973315685e-02
2.096322021484375000e+03,2.148844694914641309e+02,2.135595861720507003e+02,1.320700331023745740e-02,-8.558668226910010057e-02
2.097773925781250000e+03,2.143732559769241846e+02,2.134509258514451062e+02,1.318114223390527522e-02,-8.666645597990603467e-02
2.099225830078125000e+03,2.137925940619574590e+02,2.133158681126851377e+02,1.314899859148035456e-02,-8.800854474737102029e-02
2.100675537109375000e+03,2.129458194308810732e+02,2.131549959626460691e+02,1.311071113816992748e-02,-8.960715514576586549e-02
2.102126953125000000e+03,2.120394880506727304e+02,2.129757774506053920e+02,1.306805726420569476e-02,-9.138807606255286431e-02
2.103577880859375000e+03,2.141506443730106923e+02,2.127804872718666047e+02,1.302157834539575780e-02,-9.332870351336010339e-02
2.105027099609375000e+03,2.138317164668330577e+02,2.125607010996562849e+02,1.296926939816818274e-02,-9.551275128193589814e-02
2.106477539062500000e+03,2.123608991834852304e+02,2.123149605012789038e+02,1.291078331661481803e-02,-9.795471203013524086e-02
2.107927734375000000e+03,2.115073315655743613e+02,2.120511973709039637e+02,1.284800788571027752e-02,-1.005757653499805143e-01
2.109376220703125000e+03,2.117895490858289804e+02,2.117766535443808209e+02,1.278266665705685319e-02,-1.033039480452973696e-01
2.110825927734375000e+03,2.115943179660373232e+02,2.115032520752178300e+02,1.271759730861439334e-02,-1.060207789662132999e-01
2.112275390625000000e+03,2.137682647705078125e+02,2.112414326924706529e+02,1.265528448821469885e-02,-1.086225169777914612e-01
2.113722900390625000e+03,2.137654729772497149e+02,2.109902980918977278e+02,1.259551463810867737e-02,-1.111180787252730034e-01
2.115171875000000000e+03,2.119173533121744697e+02,2.107510199784154281e+02,1.253856662320407440e-02,-1.134958208032411375e-01
2.116620849609375000e+03,2.101148461235894160e+02,2.105273345093256125e+02,1.248532964618898934e-02,-1.157186164628376673e-01
2.118067626953125000e+03,2.100524065936053262e+02,2.103183752314913306e+02,1.243559749185452201e-02,-1.177950757773046642e-01
2.119515869140625000e+03,2.112956526014539804e+02,2.101241071564734852e+02,1.238936183297791906e-02,-1.197255464319471746e-01
2.120962158203125000e+03,2.113533008716724453e+02,2.099408588366847255e+02,1.234574886773550512e-02,-1.215465121455995973e-01
2.122409912109375000e+03,2.102650943332248232e+02,2.097568547592001664e+02,1.230195603271771500e-02,-1.233749879354888029e-01
2.123857421875000000e+03,2.093657882125289404e+02,2.095649379086658826e+02,1.225627996353774278e-02,-1.252820941239544683e-01
2.125302978515625000e+03,2.088205238624855440e+02,2.093667262633019277e+02,1.220910573782115795e-02,-1.272517526216174755e-01
2.126750000000000000e+03,2.091391166404441435e+02,2.091651258059824556e+02,1.216112497735326314e-02,-1.292550862459507510e-01
2.128195068359375000e+03,2.090326826307508554e+02,2.089689264282950205e+02,1.211442966986269951e-02,-1.312047485414664927e-01
2.129641601562500000e+03,2.084468705919053946e+02,2.087858914438914439e+02,1.207086747828494885e-02,-1.330235943097771156e-01
2.131085937500000000e+03,2.086581567834924726e+02,2.086131944051625737e+02,1.202976571016924415e-02,-1.347397103796930395e-01
2.132531982421875000e+03,2.097198350694444571e+02,2.084517612892107934e+02,1.199134474738445220e-02,-1.363438951795053200e-01
2.133976074218750000e+03,2.111741598623770244e+02,2.083067382556898224e+02,1.195682937214068327e-02,-1.377850105580035456e-01
2.135421630859375000e+03,2.092501966688367929e+02,2.081796952756213557e+02,1.192659323638562731e-02,-1.390474554804540797e-01
2.136865234375000000e+03,2.075344102647569571e+02,2.080741163045959183e+02,1.190146551898570680e-02,-1.400966093637837917e-01
2.138310058593750000e+03,2.075290069580078125e+02,2.079906345145760156e+02,1.188159691440199457e-02,-1.409261802843565503e-01
2.139753173828125000e+03,2.077763248019748232e+02,2.079218819442152153e+02,1.186523385325672156e-02,-1.416093847661046290e-01
2.141197753906250000e+03,2.073114330150463047e+02,2.078643388467144746e+02,1.185153863840218008e-02,-1.421811990546449356e-01
2.142640136718750000e+03,2.073306167037398779e+02,2.078214128993558063e+02,1.184132229452350589e-02,-1.426077605557614925e-01
2.144084228515625000e+03,2.073890188711660869e+02,2.077951316725491324e+02,1.183506738188600665e-02,-1.428689210017772271e-01
2.145526367187500000e+03,2.086784809253833828e+02,2.077894307504481333e+02,1.183371056662173987e-02,-1.429255719096496346e-01
2.146969726562500000e+03,2.083517060456452441e+02,2.078070941696725527e+02,1.183791444739720755e-02,-1.427500478948558749e-01
2.148411376953125000e+03,2.079282842565465899e+02,2.078427038489226391e+02,1.184638952485067391e-02,-1.423961892343054703e-01
2.149852539062500000e+03,2.058879021538628535e+02,2.078915511616820595e+02,1.185801514933671440e-02,-1.419107862475741388e-01
2.151295410156250000e+03,2.066808381257233691e+02,2.079503481065747508e+02,1.187200877894773084e-02,-1.413265122916627370e-01
2.152736083984375000e+03,2.068953529640480440e+02,2.080125020104580926e+02,1.188680136232786455e-02,-1.407088797367138655e-01
2.154178466796875000e+03,2.058000849971064952e+02,2.080720040670062758e+02,1.190096280799394016e-02,-1.401175989817745604e-01
2.155618652343750000e+03,2.068882858841507471e+02,2.081204021984055430e+02,1.191248152764685236e-02,-1.396366595767939423e-01
2.157058837890625000e+03,2.066572418212890625e+02,2.081439100219258762e+02,1.191807637234337629e-02,-1.394030588502908896e-01
2.158500244140625000e+03,2.049593590630425410e+02,2.081325077285502800e+02,1.191536263491185799e-02,-1.395163651295402707e-01
2.159939941406250000e+03,2.081176260489004619e+02,2.080830266810734486e+02,1.190358618202948943e-02,-1.400080656320867312e-01
